sample	samples	HGS	HGS	ENSG00000185359.12
TCGA-AC-A2BK-01	TCGA-AC-A2BK-01	0.985	1	6.062
TCGA-98-A53I-01	TCGA-98-A53I-01	0.984	1	7.027
TCGA-D8-A1XS-01	TCGA-D8-A1XS-01	0.984	1	5.801
TCGA-14-3477-01	TCGA-14-3477-01	0.983	1	
TCGA-13-1512-01	TCGA-13-1512-01	0.98	2	6.511
TCGA-YF-AA3L-01	TCGA-YF-AA3L-01	0.979	1	7.906
TCGA-24-1556-01	TCGA-24-1556-01	0.979	1	6.775
TCGA-AP-A05J-01	TCGA-AP-A05J-01	0.977	2	
TCGA-SG-A6Z7-01	TCGA-SG-A6Z7-01	0.976	1	6.582
TCGA-PG-A7D5-01	TCGA-PG-A7D5-01	0.973	2	6.673
TCGA-D7-6822-01	TCGA-D7-6822-01	0.972	1	5.737
TCGA-69-8255-01	TCGA-69-8255-01	0.969	2	6.297
TCGA-SL-A6J9-01	TCGA-SL-A6J9-01	0.968	1	7.227
TCGA-50-5935-01	TCGA-50-5935-01	0.968	1	6.565
TCGA-25-2400-01	TCGA-25-2400-01	0.966	1	6.288
TCGA-AN-A04C-01	TCGA-AN-A04C-01	0.965	1	6.259
TCGA-DX-A2J0-01	TCGA-DX-A2J0-01	0.964	2	6.245
TCGA-R6-A6DN-01	TCGA-R6-A6DN-01	0.964	1	6.757
TCGA-ZP-A9D4-01	TCGA-ZP-A9D4-01	0.962	2	6.055
TCGA-AN-A041-01	TCGA-AN-A041-01	0.959	1	6.33
TCGA-EY-A2OQ-01	TCGA-EY-A2OQ-01	0.952	1	6.694
TCGA-C8-A12U-01	TCGA-C8-A12U-01	0.952	1	6.178
TCGA-QG-A5YX-01	TCGA-QG-A5YX-01	0.949	1	6.217
TCGA-AO-A1KR-01	TCGA-AO-A1KR-01	0.948	1	8.007
TCGA-BG-A3PP-01	TCGA-BG-A3PP-01	0.948	1	6.652
TCGA-B6-A0RG-01	TCGA-B6-A0RG-01	0.947	2	6.064
TCGA-A8-A092-01	TCGA-A8-A092-01	0.947	1	5.726
TCGA-SI-AA8B-01	TCGA-SI-AA8B-01	0.945	1	6.459
TCGA-BH-A18Q-01	TCGA-BH-A18Q-01	0.945	1	6.338
TCGA-08-0350-01	TCGA-08-0350-01	0.945	1	
TCGA-BT-A20P-01	TCGA-BT-A20P-01	0.94	1	7.975
TCGA-GN-A268-06	TCGA-GN-A268-06	0.939	2	6.648
TCGA-A8-A09D-01	TCGA-A8-A09D-01	0.939	1	5.405
TCGA-ER-A19N-06	TCGA-ER-A19N-06	0.937	2	6.62
TCGA-AX-A3FW-01	TCGA-AX-A3FW-01	0.935	1	7.262
TCGA-61-1910-01	TCGA-61-1910-01	0.933	2	7.146
TCGA-24-2281-01	TCGA-24-2281-01	0.933	2	6.793
TCGA-CA-6715-01	TCGA-CA-6715-01	0.932	1	6.287
TCGA-AW-A1PO-01	TCGA-AW-A1PO-01	0.932	1	
TCGA-AN-A0XU-01	TCGA-AN-A0XU-01	0.931	2	6.505
TCGA-33-4532-01	TCGA-33-4532-01	0.931	1	6.706
TCGA-DA-A1I1-06	TCGA-DA-A1I1-06	0.931	1	6.512
TCGA-EA-A439-01	TCGA-EA-A439-01	0.931	1	6.252
TCGA-XQ-A8TA-01	TCGA-XQ-A8TA-01	0.93	2	6.986
TCGA-PG-A915-01	TCGA-PG-A915-01	0.93	1	6.475
TCGA-85-A510-01	TCGA-85-A510-01	0.929	1	6.805
TCGA-18-3412-01	TCGA-18-3412-01	0.926	1	6.062
TCGA-2Y-A9GY-01	TCGA-2Y-A9GY-01	0.925	2	7.134
TCGA-ZS-A9CF-01	TCGA-ZS-A9CF-01	0.924	2	5.626
TCGA-AG-3608-01	TCGA-AG-3608-01	0.924	1	
TCGA-A7-A0CJ-01	TCGA-A7-A0CJ-01	0.923	1	5.938
TCGA-AO-A0J2-01	TCGA-AO-A0J2-01	0.922	2	6.75
TCGA-HF-7136-01	TCGA-HF-7136-01	0.922	2	5.65
TCGA-3A-A9IN-01	TCGA-3A-A9IN-01	0.922	1	5.864
TCGA-13-0897-01	TCGA-13-0897-01	0.921	1	6.537
TCGA-2Y-A9H1-01	TCGA-2Y-A9H1-01	0.92	1	6.178
TCGA-AA-A01S-01	TCGA-AA-A01S-01	0.919	1	
TCGA-UZ-A9PJ-01	TCGA-UZ-A9PJ-01	0.918	1	6.296
TCGA-DX-A6YZ-01	TCGA-DX-A6YZ-01	0.917	1	6.394
TCGA-HE-A5NJ-01	TCGA-HE-A5NJ-01	0.916	1	7.113
TCGA-AL-3471-01	TCGA-AL-3471-01	0.916	1	6.9
TCGA-DX-A6BF-01	TCGA-DX-A6BF-01	0.915	2	7.391
TCGA-EE-A2MP-06	TCGA-EE-A2MP-06	0.915	1	7.005
TCGA-A5-A0GJ-01	TCGA-A5-A0GJ-01	0.915	1	
TCGA-23-1109-01	TCGA-23-1109-01	0.911	1	6.879
TCGA-DD-AAD6-01	TCGA-DD-AAD6-01	0.911	1	6.198
TCGA-24-1549-01	TCGA-24-1549-01	0.91	2	6.787
TCGA-CV-7250-01	TCGA-CV-7250-01	0.906	1	6.816
TCGA-04-1360-01	TCGA-04-1360-01	0.906	1	
TCGA-DB-A64Q-01	TCGA-DB-A64Q-01	0.905	1	6.278
TCGA-GU-AATQ-01	TCGA-GU-AATQ-01	0.904	1	7.062
TCGA-DD-A4NI-01	TCGA-DD-A4NI-01	0.897	2	5.069
TCGA-29-1776-01	TCGA-29-1776-01	0.897	1	6.211
TCGA-E9-A1NI-01	TCGA-E9-A1NI-01	0.896	1	6.292
TCGA-RY-A840-01	TCGA-RY-A840-01	0.895	2	7.002
TCGA-ZB-A962-01	TCGA-ZB-A962-01	0.895	1	8.024
TCGA-CF-A27C-01	TCGA-CF-A27C-01	0.894	2	7.295
TCGA-61-2092-01	TCGA-61-2092-01	0.893	1	6.516
TCGA-G7-A8LB-01	TCGA-G7-A8LB-01	0.892	1	7.284
TCGA-L5-A4OU-01	TCGA-L5-A4OU-01	0.891	2	6.783
TCGA-A2-A0EV-01	TCGA-A2-A0EV-01	0.891	1	6.214
TCGA-LL-A5YM-01	TCGA-LL-A5YM-01	0.89	1	7.649
TCGA-69-7974-01	TCGA-69-7974-01	0.89	1	6.99
TCGA-24-2024-01	TCGA-24-2024-01	0.889	2	6.272
