"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"P11279",0.175798656321366,16.9730101980038,0.438931295753076,0.67077366821756,0.927245953124274,-6.51031260682543,"unchanged"
"Q13573",-0.174625480626233,17.1640861796607,-0.465259131548733,0.652492504863605,0.919008506785268,-6.49764215999862,"unchanged"
"Q9Y224",-0.173932732277112,22.5216930443814,-0.509606311859413,0.62224870816976,0.908251219999339,-6.4747142104947,"unchanged"
"Q99729",0.170624692387648,16.2931383756812,0.417674065861864,0.685702812432884,0.932013999280898,-6.52002634719028,"unchanged"
"Q8WVV4",0.168576296980611,19.0532019418,0.502934432264783,0.626753324931536,0.909179205919203,-6.4782899541169,"unchanged"
"P27348",-0.167071498944857,17.7013330971228,-0.371852236907808,0.718368863209671,0.932013999280898,-6.53938223838014,"unchanged"
"P27816",0.166590835060536,17.8485175145736,0.453102993745798,0.660903989986001,0.919008506785268,-6.50358003607968,"unchanged"
"P49411",-0.166454613654459,17.1976837834008,-0.410443869106747,0.690813940883207,0.932013999280898,-6.52322456389851,"unchanged"
"P26373",-0.160746663344678,26.488739030974,-0.459792374467568,0.656268952296118,0.919008506785268,-6.50033106031823,"unchanged"
"P48739",-0.159785473874162,20.0577889030501,-0.378736494611243,0.71342047556878,0.932013999280898,-6.53661299444686,"unchanged"
"P18124",-0.157511096524075,18.7252723452693,-0.189499501215269,0.85378966208602,0.975487213668914,-6.59456315622203,"unchanged"
"P06733",0.156416366841231,20.1010622635354,0.414868942466755,0.687683816654403,0.932013999280898,-6.52127355448327,"unchanged"
"Q9NZT1",-0.155275090430859,23.9684125029403,-0.337971996858123,0.742919617854854,0.93219158627155,-6.55229107074942,"unchanged"
"P42357",-0.154639834034793,17.6740358081009,-0.245198477357193,0.811649981901305,0.975487213668914,-6.58145554035355,"unchanged"
"Q92804",-0.15379009346465,20.2868772984645,-0.382020028341585,0.711065218075701,0.932013999280898,-6.53527483136266,"unchanged"
"P02768",-0.153132142807301,22.9582417851796,-0.276482183285902,0.788249230914591,0.964784214921504,-6.57263996880893,"unchanged"
"Q8WUA2",-0.151907963106094,17.1764200628879,-0.37403560302716,0.716797955467499,0.932013999280898,-6.53850929648506,"unchanged"
"P04406",0.149605246633126,22.3487900708174,0.377601369576645,0.714235438408485,0.932013999280898,-6.53707299706621,"unchanged"
