sample	samples	STAM	STAM	ENSG00000136738.14
TCGA-A5-A0GV-01	TCGA-A5-A0GV-01	0.95	1	
TCGA-BR-6801-01	TCGA-BR-6801-01	0.947	1	3.63
TCGA-A8-A09K-01	TCGA-A8-A09K-01	0.944	2	3.618
TCGA-D7-A6EX-01	TCGA-D7-A6EX-01	0.943	1	4.446
TCGA-29-1763-01	TCGA-29-1763-01	0.941	1	3.39
TCGA-EW-A1OY-01	TCGA-EW-A1OY-01	0.936	1	3.716
TCGA-14-3477-01	TCGA-14-3477-01	0.935	1	
TCGA-59-2372-01	TCGA-59-2372-01	0.933	1	
TCGA-DU-7304-01	TCGA-DU-7304-01	0.932	1	
TCGA-L9-A444-01	TCGA-L9-A444-01	0.929	1	2.932
TCGA-HW-8321-01	TCGA-HW-8321-01	0.928	2	4.222
TCGA-EY-A1G7-01	TCGA-EY-A1G7-01	0.927	1	
TCGA-AR-A251-01	TCGA-AR-A251-01	0.919	1	5.191
TCGA-DK-AA6U-01	TCGA-DK-AA6U-01	0.919	1	3.716
TCGA-XF-A9SK-01	TCGA-XF-A9SK-01	0.919	1	2.878
TCGA-BG-A0M3-01	TCGA-BG-A0M3-01	0.918	1	
TCGA-91-6836-01	TCGA-91-6836-01	0.915	1	4.482
TCGA-S9-A7J0-01	TCGA-S9-A7J0-01	0.915	1	4.235
TCGA-71-6725-01	TCGA-71-6725-01	0.911	1	3.339
TCGA-13-0884-01	TCGA-13-0884-01	0.911	1	2.718
TCGA-85-A512-01	TCGA-85-A512-01	0.91	1	3.87
TCGA-AY-4070-01	TCGA-AY-4070-01	0.909	1	
TCGA-25-1322-01	TCGA-25-1322-01	0.907	1	3.544
TCGA-BT-A20R-01	TCGA-BT-A20R-01	0.904	1	3.611
TCGA-C4-A0EZ-01	TCGA-C4-A0EZ-01	0.903	1	3.555
TCGA-BH-A1F6-01	TCGA-BH-A1F6-01	0.901	1	3.926
TCGA-X6-A8C2-01	TCGA-X6-A8C2-01	0.9	1	3.66
TCGA-DK-A3IV-01	TCGA-DK-A3IV-01	0.899	2	4.032
TCGA-77-A5G8-01	TCGA-77-A5G8-01	0.899	1	4.023
TCGA-KN-8433-01	TCGA-KN-8433-01	0.899	1	2.098
TCGA-AB-2901-03	TCGA-AB-2901-03	0.898	1	6.138
TCGA-AX-A05U-01	TCGA-AX-A05U-01	0.898	1	
TCGA-FD-A3NA-01	TCGA-FD-A3NA-01	0.897	1	4.31
TCGA-29-1785-01	TCGA-29-1785-01	0.897	1	3.912
TCGA-BG-A0M6-01	TCGA-BG-A0M6-01	0.896	1	
TCGA-13-1412-01	TCGA-13-1412-01	0.894	1	
TCGA-31-1944-01	TCGA-31-1944-01	0.892	2	3.475
TCGA-N8-A4PI-01	TCGA-N8-A4PI-01	0.891	1	3.491
TCGA-13-0885-01	TCGA-13-0885-01	0.885	1	2.707
TCGA-D3-A8GK-06	TCGA-D3-A8GK-06	0.881	1	5.567
TCGA-IK-7675-01	TCGA-IK-7675-01	0.881	1	4.316
TCGA-EO-A1Y7-01	TCGA-EO-A1Y7-01	0.88	1	2.995
TCGA-CU-A3KJ-01	TCGA-CU-A3KJ-01	0.877	2	3.784
TCGA-A2-A0T0-01	TCGA-A2-A0T0-01	0.877	1	3.72
TCGA-Z6-A8JE-01	TCGA-Z6-A8JE-01	0.876	1	3.887
TCGA-AP-A0LN-01	TCGA-AP-A0LN-01	0.875	1	
TCGA-57-1994-01	TCGA-57-1994-01	0.872	1	3.532
TCGA-36-2551-01	TCGA-36-2551-01	0.871	1	
TCGA-OR-A5L8-01	TCGA-OR-A5L8-01	0.87	1	3.21
TCGA-QS-A744-01	TCGA-QS-A744-01	0.87	1	3.208
TCGA-24-1469-01	TCGA-24-1469-01	0.869	1	4.263
TCGA-94-A5I4-01	TCGA-94-A5I4-01	0.869	1	3.998
TCGA-CG-4440-01	TCGA-CG-4440-01	0.867	1	4.612
TCGA-A8-A097-01	TCGA-A8-A097-01	0.867	1	3.844
TCGA-BG-A187-01	TCGA-BG-A187-01	0.866	1	
TCGA-L5-A8NR-01	TCGA-L5-A8NR-01	0.864	1	4.61
TCGA-AP-A053-01	TCGA-AP-A053-01	0.864	1	
TCGA-SR-A6MT-01	TCGA-SR-A6MT-01	0.863	1	4.205
TCGA-EY-A1H0-01	TCGA-EY-A1H0-01	0.862	1	
TCGA-72-4234-01	TCGA-72-4234-01	0.861	1	
TCGA-29-1774-01	TCGA-29-1774-01	0.858	1	3.653
TCGA-OR-A5J5-01	TCGA-OR-A5J5-01	0.858	1	1.9
TCGA-AX-A06D-01	TCGA-AX-A06D-01	0.854	1	
TCGA-E2-A159-01	TCGA-E2-A159-01	0.853	2	4.379
TCGA-EY-A210-01	TCGA-EY-A210-01	0.852	1	3.034
TCGA-29-1777-01	TCGA-29-1777-01	0.85	2	2.759
TCGA-WB-A81A-01	TCGA-WB-A81A-01	0.849	1	4.445
TCGA-W5-AA2Q-01	TCGA-W5-AA2Q-01	0.847	1	3.341
TCGA-31-1953-01	TCGA-31-1953-01	0.844	2	3.625
TCGA-BS-A0WQ-01	TCGA-BS-A0WQ-01	0.844	1	
TCGA-04-1654-01	TCGA-04-1654-01	0.841	1	
TCGA-HU-A4G9-01	TCGA-HU-A4G9-01	0.84	1	3.637
TCGA-13-1407-01	TCGA-13-1407-01	0.839	1	3.152
TCGA-24-2295-01	TCGA-24-2295-01	0.839	1	
TCGA-EO-A3KU-01	TCGA-EO-A3KU-01	0.837	2	3.552
TCGA-13-1497-01	TCGA-13-1497-01	0.837	1	3.544
TCGA-ED-A82E-01	TCGA-ED-A82E-01	0.835	1	3.422
TCGA-CF-A5UA-01	TCGA-CF-A5UA-01	0.833	1	2.47
TCGA-B9-4617-01	TCGA-B9-4617-01	0.832	1	2.141
TCGA-T2-A6WZ-01	TCGA-T2-A6WZ-01	0.829	1	2.457
TCGA-30-1887-01	TCGA-30-1887-01	0.829	1	
TCGA-DD-AAE8-01	TCGA-DD-AAE8-01	0.827	2	
TCGA-AO-A03V-01	TCGA-AO-A03V-01	0.827	1	3.969
TCGA-LL-A5YM-01	TCGA-LL-A5YM-01	0.822	1	2.556
TCGA-AX-A05T-01	TCGA-AX-A05T-01	0.82	1	
TCGA-LT-A5Z6-01	TCGA-LT-A5Z6-01	0.816	1	3.259
TCGA-29-1693-01	TCGA-29-1693-01	0.815	1	3.887
TCGA-A1-A0SE-01	TCGA-A1-A0SE-01	0.813	1	4.188
TCGA-FP-7735-01	TCGA-FP-7735-01	0.813	1	3.47
TCGA-G3-AAV5-01	TCGA-G3-AAV5-01	0.813	1	2.018
TCGA-UY-A9PE-01	TCGA-UY-A9PE-01	0.812	2	2.938
TCGA-D1-A161-01	TCGA-D1-A161-01	0.812	1	
TCGA-D1-A15Z-01	TCGA-D1-A15Z-01	0.811	1	
TCGA-4Z-AA7M-01	TCGA-4Z-AA7M-01	0.81	1	3.66
TCGA-D8-A1XK-01	TCGA-D8-A1XK-01	0.809	2	4.517
TCGA-23-1121-01	TCGA-23-1121-01	0.809	1	
TCGA-HQ-A5ND-01	TCGA-HQ-A5ND-01	0.807	1	3.601
TCGA-HT-A74O-01	TCGA-HT-A74O-01	0.807	1	3.315
TCGA-09-2050-01	TCGA-09-2050-01	0.807	1	
TCGA-FI-A2D4-01	TCGA-FI-A2D4-01	0.807	1	
TCGA-04-1350-01	TCGA-04-1350-01	0.806	1	3.149
TCGA-BG-A0RY-01	TCGA-BG-A0RY-01	0.805	1	
TCGA-AC-A8OQ-01	TCGA-AC-A8OQ-01	0.803	2	3.582
TCGA-CC-5264-01	TCGA-CC-5264-01	0.803	1	3.372
TCGA-EY-A2ON-01	TCGA-EY-A2ON-01	0.801	1	3.195
TCGA-EY-A2OP-01	TCGA-EY-A2OP-01	0.8	1	3.216
TCGA-12-0818-01	TCGA-12-0818-01	0.8	1	
TCGA-WB-A80L-01	TCGA-WB-A80L-01	0.799	1	4.015
TCGA-BH-A0E6-01	TCGA-BH-A0E6-01	0.799	1	3.016
TCGA-A2-A0YJ-01	TCGA-A2-A0YJ-01	0.798	1	4.233
TCGA-AP-A1E4-01	TCGA-AP-A1E4-01	0.797	1	
TCGA-DK-AA74-01	TCGA-DK-AA74-01	0.796	2	2.986
